alpha,beta,chain
-0.18459398,-0.010873422,chain_0
-0.19903874,-0.0061518694,chain_0
-0.202959,-0.010062717,chain_0
-0.18609083,-0.0036868027,chain_0
-0.18812661,-0.0028160356,chain_0
-0.18523496,-0.0043846974,chain_0
-0.18523496,-0.0043846974,chain_0
-0.2232138,-0.010709022,chain_0
-0.20534465,-0.0063681435,chain_0
-0.18655814,-0.0064369957,chain_0
-0.18677069,-0.005873348,chain_0
-0.19758333,-0.007307496,chain_0
-0.1942398,-0.009967565,chain_0
-0.18214118,-0.008705192,chain_0
-0.19747485,-0.0037102627,chain_0
-0.19020179,-0.005111089,chain_0
-0.18809904,-0.006863974,chain_0
-0.18017651,-0.007604228,chain_0
-0.18327115,-0.0061204126,chain_0
-0.19919378,-0.010090901,chain_0
-0.19479637,-0.0050545125,chain_0
-0.1852019,-0.005937932,chain_0
-0.20455284,-0.0075591,chain_0
-0.19522525,-0.0056543257,chain_0
-0.20228787,-0.0026826465,chain_0
-0.20106143,-0.009402955,chain_0
-0.20946199,-0.0052925996,chain_0
-0.19460839,-0.0054702237,chain_0
-0.17674287,-0.00755811,chain_0
-0.18577561,-0.012912853,chain_0
-0.18646288,-0.012266256,chain_0
-0.19700226,-0.012355178,chain_0
-0.19180845,-0.012945775,chain_0
-0.19196448,-0.0027178833,chain_0
-0.20757182,-0.011316856,chain_0
-0.17762238,-0.003899521,chain_0
-0.18038704,-0.00547745,chain_0
-0.20638382,-0.008642937,chain_0
-0.17988579,-0.010908021,chain_0
-0.1798588,-0.008019197,chain_0
-0.18567821,-0.013107139,chain_0
-0.19322343,-0.012227308,chain_0
-0.19626287,-0.009169022,chain_0
-0.2019289,-0.005538158,chain_0
-0.19691867,-0.00533701,chain_0
-0.20078279,-0.008386154,chain_0
-0.1957378,-0.00940688,chain_0
-0.17384793,-0.006690141,chain_0
-0.17301054,-0.0063215285,chain_0
-0.1971565,-0.0076473616,chain_0
-0.20143758,-0.00899535,chain_0
-0.19430962,-0.01145646,chain_0
-0.19051594,-0.0028160731,chain_0
-0.20413809,-0.011596605,chain_0
-0.20488903,-0.009820842,chain_0
-0.20076133,-0.011212609,chain_0
-0.19547859,-0.008355192,chain_0
-0.19646369,-0.012626715,chain_0
-0.18724075,-0.003139649,chain_0
-0.19029865,-0.0052223997,chain_0
-0.20558812,-0.006558818,chain_0
-0.19652058,-0.0063570337,chain_0
-0.20584618,-0.0069645504,chain_0
-0.194435,-0.0061277184,chain_0
-0.20906864,-0.0068547796,chain_0
-0.21338603,-0.004302349,chain_0
-0.2107024,-0.010464561,chain_0
-0.2067822,-0.008535552,chain_0
-0.20865619,-0.009337902,chain_0
-0.2077446,-0.009037023,chain_0
-0.20818289,-0.004837768,chain_0
-0.20285705,-0.006714328,chain_0
-0.19147643,-0.009332186,chain_0
-0.192049,-0.005699254,chain_0
-0.19080488,-0.006638916,chain_0
-0.18881506,-0.009044455,chain_0
-0.21257417,-0.006925691,chain_0
-0.20457412,-0.0054995418,chain_0
-0.19787604,-0.008591248,chain_0
-0.18589543,-0.0059643085,chain_0
-0.19610535,-0.006041933,chain_0
-0.19610535,-0.006041933,chain_0
-0.17594574,-0.007478867,chain_0
-0.21054377,-0.0040459842,chain_0
-0.19687873,-0.0071680276,chain_0
-0.185791,-0.003884666,chain_0
-0.19868511,-0.0070947176,chain_0
-0.1919287,-0.00443519,chain_0
-0.1806301,-0.008173734,chain_0
-0.19732222,-0.0055219424,chain_0
-0.1889771,-0.00763515,chain_0
-0.17852524,-0.007201489,chain_0
-0.18780719,-0.0061121034,chain_0
-0.18181327,-0.006631037,chain_0
-0.18496484,-0.006035314,chain_0
-0.1887891,-0.008934002,chain_0
-0.19421051,-0.0055786446,chain_0
-0.20067689,-0.006265771,chain_0
-0.2168418,-0.006219409,chain_0
-0.2041313,-0.0058269515,chain_0
-0.18687026,-0.007801562,chain_0
-0.1791591,-0.00482882,chain_0
-0.17949907,-0.007385792,chain_0
-0.18635282,-0.007904166,chain_0
-0.20601815,-0.0038585314,chain_0
-0.2173606,-0.0067149727,chain_0
-0.21245596,-0.008521225,chain_0
-0.205425,-0.009511768,chain_0
-0.21260294,-0.0075934306,chain_0
-0.21170457,-0.00604217,chain_0
-0.21604072,-0.0058033755,chain_0
-0.21351326,-0.00432772,chain_0
-0.19932337,-0.0038297353,chain_0
-0.20535342,-0.0077957273,chain_0
-0.18320142,-0.011051321,chain_0
-0.18892139,-0.0072481493,chain_0
-0.18369609,-0.009084446,chain_0
-0.21314742,-0.0062673846,chain_0
-0.1808971,-0.005077561,chain_0
-0.20414907,-0.010347985,chain_0
-0.19352117,-0.0056529855,chain_0
-0.18045461,-0.007998809,chain_0
-0.18057087,-0.005022373,chain_0
-0.20882462,-0.009806466,chain_0
-0.2125384,-0.009232822,chain_0
-0.1756822,-0.01041889,chain_0
-0.16974239,-0.005482667,chain_0
-0.19605705,-0.0095513305,chain_0
-0.19774282,-0.010007141,chain_0
-0.2102992,-0.0054175924,chain_0
-0.19114582,-0.006253713,chain_0
-0.21303709,-0.006383466,chain_0
-0.21104388,-0.011742185,chain_0
-0.1774069,-0.010140954,chain_0
-0.21457791,-0.0037915274,chain_0
-0.21457791,-0.0037915274,chain_0
-0.21457791,-0.0037915274,chain_0
-0.21072006,-0.007875439,chain_0
-0.19571203,-0.00695436,chain_0
-0.18857203,-0.007470873,chain_0
-0.18466093,-0.0060813576,chain_0
-0.19016933,-0.005105052,chain_0
-0.19970475,-0.008045616,chain_0
-0.19945532,-0.007856044,chain_0
-0.18509544,-0.008085644,chain_0
-0.18642685,-0.009011805,chain_0
-0.20003423,-0.006626611,chain_0
-0.19587192,-0.005375501,chain_0
-0.19765118,-0.0047272313,chain_0
-0.1857818,-0.01130413,chain_0
-0.18910734,-0.011124341,chain_0
-0.20004334,-0.0071552154,chain_0
-0.19139618,-0.006813602,chain_0
-0.20306663,-0.0069555244,chain_0
-0.21310909,-0.009355323,chain_0
-0.21816245,-0.007848363,chain_0
-0.18435164,-0.0089186495,chain_0
-0.1890758,-0.0066814604,chain_0
-0.1913912,-0.0072459257,chain_0
-0.18706137,-0.0074654003,chain_0
-0.18946883,-0.007466918,chain_0
-0.19977842,-0.0068968018,chain_0
-0.1908751,-0.0052825403,chain_0
-0.19179851,-0.003714391,chain_0
-0.1827535,-0.009339377,chain_0
-0.18015793,-0.010093639,chain_0
-0.17865552,-0.010765358,chain_0
-0.17331167,-0.009078872,chain_0
-0.17956312,-0.009263007,chain_0
-0.19479486,-0.006562969,chain_0
-0.20179744,-0.003306303,chain_0
-0.184778,-0.010685471,chain_0
-0.18075764,-0.0041756723,chain_0
-0.19420122,-0.018305983,chain_0
-0.18931377,-0.016007103,chain_0
-0.18518786,-0.015686564,chain_0
-0.17461433,-0.010197524,chain_0
-0.19228142,-0.009773747,chain_0
-0.20386174,-0.0076286597,chain_0
-0.20595703,-0.009072496,chain_0
-0.18520534,-0.004987417,chain_0
-0.21085668,-0.008309172,chain_0
-0.19004825,-0.006137259,chain_0
-0.20084725,-0.009326054,chain_0
-0.19733992,-0.0067363232,chain_0
-0.19349054,-0.0072775763,chain_0
-0.19149818,-0.0065429215,chain_0
-0.19725296,-0.0045415885,chain_0
-0.20997526,-0.0067792083,chain_0
-0.18288821,-0.0065261456,chain_0
-0.20115188,-0.010667564,chain_0
-0.17954461,-0.011055924,chain_0
-0.1826277,-0.0106415395,chain_0
-0.18552406,-0.01317713,chain_0
-0.17454591,-0.004356511,chain_0
-0.20903817,-0.00830558,chain_0
-0.1953919,-0.005390454,chain_0
-0.1953919,-0.005390454,chain_0
-0.19641288,-0.008081184,chain_0
-0.20962821,-0.010709145,chain_0
-0.17040399,-0.0060431794,chain_0
-0.20595655,-0.0074846596,chain_0
-0.17919342,-0.0043359203,chain_0
-0.18926498,-0.010350941,chain_0
-0.18264903,-0.0067168362,chain_0
-0.18751752,-0.010985777,chain_0
-0.19600059,-0.0029345828,chain_0
-0.19133486,-0.0029099744,chain_0
-0.18482268,-0.012505112,chain_0
-0.18506975,-0.012247327,chain_0
-0.19845895,-0.0071194936,chain_0
-0.201661,-0.009627218,chain_0
-0.17603172,-0.010183341,chain_0
-0.19034465,-0.011106126,chain_0
-0.18424004,-0.00848083,chain_0
-0.19292036,-0.0054075834,chain_0
-0.18359947,-0.011107537,chain_0
-0.21184547,-0.006038366,chain_0
-0.20690998,-0.006805718,chain_0
-0.19337021,-0.007115595,chain_0
-0.18932196,-0.008820698,chain_0
-0.21106414,-0.008920159,chain_0
-0.1739214,-0.005926905,chain_0
-0.18100756,-0.005391737,chain_0
-0.19268146,-0.005712693,chain_0
-0.19548823,-0.007191647,chain_0
-0.18920149,-0.0077692256,chain_0
-0.17871314,-0.008680205,chain_0
-0.21825804,-0.0050422163,chain_0
-0.20273256,-0.0099199675,chain_0
-0.19910052,-0.0065968595,chain_0
-0.19676274,-0.007976029,chain_0
-0.2015037,-0.0076945038,chain_0
-0.17705113,-0.011876512,chain_0
-0.22247574,-0.0045822826,chain_0
-0.20700213,-0.0029458874,chain_0
-0.1933413,-0.010890059,chain_0
-0.18347837,-0.0077444,chain_0
-0.21401668,-0.0053557646,chain_0
-0.19937313,-0.0071160896,chain_0
-0.1799799,-0.0055490765,chain_0
-0.177556,-0.0087815765,chain_0
-0.2023678,-0.006978506,chain_0
-0.1897123,-0.0074573234,chain_0
-0.20211135,-0.008696472,chain_0
-0.1851679,-0.0064048087,chain_0
-0.19815983,-0.006805406,chain_0
-0.19101512,-0.004088083,chain_0
-0.1748248,-0.008767889,chain_0
-0.18718514,-0.0052050934,chain_0
-0.190683,-0.009240709,chain_0
-0.18373172,-0.005982792,chain_0
-0.18960923,-0.0051399297,chain_0
-0.18572573,-0.0085662175,chain_0
-0.19823492,-0.0073875035,chain_0
-0.2086141,-0.0072266688,chain_0
-0.20385213,-0.007736612,chain_0
-0.1865512,-0.009936797,chain_0
-0.17939644,-0.010985692,chain_0
-0.18216579,-0.009223126,chain_0
-0.20643465,-0.0047526984,chain_0
-0.18090248,-0.009451704,chain_0
-0.18981573,-0.010525214,chain_0
-0.18981573,-0.010525214,chain_0
-0.19401518,-0.008433404,chain_0
-0.19209233,-0.0048829396,chain_0
-0.18499264,-0.0095738135,chain_0
-0.20968889,-0.0069563407,chain_0
-0.19099846,-0.008673629,chain_0
-0.1832258,-0.0096865,chain_0
-0.1750172,-0.01093394,chain_0
-0.17556453,-0.010572871,chain_0
-0.19744222,-0.005409748,chain_0
-0.19744222,-0.005409748,chain_0
-0.19838117,-0.004726834,chain_0
-0.20594648,-0.0060511325,chain_0
-0.1792934,-0.008720954,chain_0
-0.19880408,-0.012805736,chain_0
-0.19821563,-0.005467457,chain_0
-0.20400596,-0.007000439,chain_0
-0.17860252,-0.0072937845,chain_0
-0.17716613,-0.007684502,chain_0
-0.17379436,-0.008425155,chain_0
-0.18329202,-0.009454969,chain_0
-0.18006687,-0.008011031,chain_0
-0.17216942,-0.0044596484,chain_0
-0.21540782,-0.007212047,chain_0
-0.20963065,-0.0042866166,chain_0
-0.20748423,-0.008833754,chain_0
-0.19672318,-0.0077657886,chain_0
-0.19339679,-0.008581874,chain_0
-0.18642706,-0.0069814296,chain_0
-0.18490335,-0.0068804855,chain_0
-0.19337703,-0.00920137,chain_0
-0.19486198,-0.0068217586,chain_0
-0.19417636,-0.007247941,chain_0
-0.19420795,-0.007019105,chain_0
-0.208978,-0.0037640473,chain_0
-0.21137288,-0.009615291,chain_0
-0.20185912,-0.009062428,chain_0
-0.17616624,-0.0074322126,chain_0
-0.19254865,-0.009483007,chain_0
-0.2029597,-0.004041201,chain_0
-0.203494,-0.004218314,chain_0
-0.19573258,-0.010179829,chain_0
-0.18871313,-0.007079131,chain_0
-0.19300671,-0.008580633,chain_0
-0.17921685,-0.007784315,chain_0
-0.18426584,-0.004002881,chain_0
-0.18458638,-0.004316119,chain_0
-0.21156073,-0.009732914,chain_0
-0.20827739,-0.010921205,chain_0
-0.19894557,-0.014320093,chain_0
-0.17860349,-0.0051777074,chain_0
-0.19027218,-0.0031908813,chain_0
-0.18941957,-0.01589229,chain_0
-0.20304494,-0.011740019,chain_0
-0.19735944,-0.00565276,chain_0
-0.18930796,-0.0101594115,chain_0
-0.19250263,-0.014173091,chain_0
-0.19849367,-0.008838022,chain_0
-0.18828984,-0.007861744,chain_0
-0.17671739,-0.010695499,chain_0
-0.17776074,-0.010737155,chain_0
-0.17620653,-0.010784052,chain_0
-0.18931158,-0.01031565,chain_0
-0.19223942,-0.012630134,chain_0
-0.20087476,-0.005054598,chain_0
-0.20281693,-0.0055811377,chain_0
-0.18972217,-0.005256459,chain_0
-0.18974753,-0.006660345,chain_0
-0.20182906,-0.007565399,chain_0
-0.1917453,-0.0062381634,chain_0
-0.1969623,-0.004702476,chain_0
-0.21008474,-0.002715911,chain_0
-0.21172543,-0.005016188,chain_0
-0.20730397,-0.0060060946,chain_0
-0.20110148,-0.00725375,chain_0
-0.17614713,-0.0052211126,chain_0
-0.19525978,-0.0111161815,chain_0
-0.18342534,-0.008493111,chain_0
-0.18668768,-0.011895818,chain_0
-0.20272352,-0.00774582,chain_0
-0.19323502,-0.0037701335,chain_0
-0.18975495,-0.011540686,chain_0
-0.21264675,-0.006628814,chain_0
-0.1859485,-0.008599004,chain_0
-0.19730492,-0.0069774976,chain_0
-0.19257073,-0.0077772546,chain_0
-0.19268854,-0.005415397,chain_0
-0.19268854,-0.005415397,chain_0
-0.21476868,-0.0064753112,chain_0
-0.17494331,-0.007815607,chain_0
-0.20269395,-0.005859246,chain_0
-0.17645782,-0.0077473396,chain_0
-0.19295308,-0.007306853,chain_0
-0.18960035,-0.006552925,chain_0
-0.19353643,-0.0046363017,chain_0
-0.20007,-0.009614978,chain_0
-0.20139633,-0.010712968,chain_0
-0.18255658,-0.009913426,chain_0
-0.18415639,-0.009927831,chain_0
-0.19668737,-0.008753877,chain_0
-0.20118563,-0.008431372,chain_0
-0.19860865,-0.010599949,chain_0
-0.17449817,-0.008635875,chain_0
-0.16968209,-0.009486271,chain_0
-0.17452253,-0.005963079,chain_0
-0.19581519,-0.009750281,chain_0
-0.18020147,-0.005401205,chain_0
-0.19623297,-0.011144327,chain_0
-0.19297907,-0.018361224,chain_0
-0.19486582,-0.014387576,chain_0
-0.20708822,-0.010803418,chain_0
-0.1881147,-0.011185461,chain_0
-0.20338279,-0.0058780974,chain_0
